Year,Round,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,Team 1_FG_PCT,Team 1_FG3_PCT,Team 1_PTS,Team 1_WinPCT,Team 2_FG_PCT,Team 2_FG3_PCT,Team 2_PTS,Team 2_WinPCT,Team 1_SRS,Team 2_SRS
2022,ECFR,Milwaukee Bucks,4,Chicago Bulls,1,Milwaukee Bucks,0.468,0.366,9470,0.622,0.48,0.369,9152,0.561,3.22,-0.38
2022,ECFR,Philadelphia 76ers,4,Toronto Raptors,2,Philadelphia 76ers,0.466,0.364,9015,0.622,0.445,0.349,8970,0.585,2.57,2.38
2022,WCFR,Dallas Mavericks,4,Utah Jazz,2,Dallas Mavericks,0.461,0.35,8858,0.634,0.471,0.36,9316,0.598,3.12,5.67
2022,WCFR,Golden State Warriors,4,Denver Nuggets,1,Golden State Warriors,0.469,0.364,9102,0.646,0.483,0.353,9243,0.585,5.52,2.16
2022,WCFR,Memphis Grizzlies,4,Minnesota Timberwolves,2,Memphis Grizzlies,0.461,0.353,9480,0.683,0.457,0.358,9507,0.561,5.37,2.53
2022,WCFR,Phoenix Suns,4,New Orleans Pelicans,2,Phoenix Suns,0.485,0.364,9416,0.78,0.457,0.332,8962,0.439,6.94,-0.84
2021,Finals,Milwaukee Bucks,4,Phoenix Suns,2,Milwaukee Bucks,0.487,0.389,8649,0.639,0.49,0.378,8300,0.708,5.57,5.67
2021,ECF,Milwaukee Bucks,4,Atlanta Hawks,2,Milwaukee Bucks,0.487,0.389,8649,0.639,0.468,0.373,8186,0.569,5.57,2.14
2021,WCF,Phoenix Suns,4,LA Clippers,2,Phoenix Suns,0.49,0.378,8300,0.708,0.482,0.411,8209,0.653,5.67,6.02
2021,ECS,Atlanta Hawks,4,Philadelphia 76ers,3,Atlanta Hawks,0.468,0.373,8186,0.569,0.476,0.374,8182,0.681,2.14,5.28
2021,ECS,Milwaukee Bucks,4,Brooklyn Nets,3,Milwaukee Bucks,0.487,0.389,8649,0.639,0.494,0.392,8537,0.667,5.57,4.24
2021,WCS,LA Clippers,4,Utah Jazz,2,LA Clippers,0.482,0.411,8209,0.653,0.468,0.389,8382,0.722,6.02,8.97
2021,WCS,Phoenix Suns,4,Denver Nuggets,0,Phoenix Suns,0.49,0.378,8300,0.708,0.485,0.377,8284,0.653,5.67,4.82
